dt_distr,train_distr,test_distr,seed,act,prd,est,absolute_error,nkld
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],11,[ 824.  137.  137.  137.  137.  137. 1236.],[ 194.  137.  248.  300. 1093.   38.  735.],[ 194.  138.  248.  300. 1093.   38.  735.],0.12807702315899036,0.27265078370983575
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],42,[ 824.  137.  137.  137.  137.  137. 1236.],[ 996.  135.    0.  207.  181.  144. 1082.],[ 995.  135.  959.  207.  182.  144. 1081.],0.06619828259172522,-0.06486793547088976
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],73,[ 824.  137.  137.  137.  137.  137. 1236.],[ 462.  138.  470.   43.    0. 1458.  174.],[ 462.  137.  470.   42.    0. 1458.  174.],0.17226125422846733,0.6429138068738578
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],34,[ 824.  137.  137.  137.  137.  137. 1236.],[   0.  136.  742.  211.  439.  129. 1088.],[ 836.  136.  741.  212.  438.  129. 1089.],0.05974499089253188,-0.05394829680443092
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],25,[ 824.  137.  137.  137.  137.  137. 1236.],[532. 138. 122. 181. 995.  39. 738.],[531. 138. 122. 182. 995.  39. 737.],0.09414519906323185,0.15850881171557463
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],96,[ 824.  137.  137.  137.  137.  137. 1236.],[1227.  136.    0.   79.    0. 1136.  167.],[1227.  136. 1632.   78.    0. 1137.  166.],0.2167577413479053,0.5277305710891744
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],57,[ 824.  137.  137.  137.  137.  137. 1236.],[ 934.  128.   15.  252.  211.   68. 1137.],[1002.  117.  159.  179.  136.   50.  242.],0.06994535519125683,0.3422679678820659
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],88,[ 824.  137.  137.  137.  137.  137. 1236.],[  41.  137.  463.  195. 1480.    2.  427.],[  41.  137.  463.  196. 1479.    2.  427.],0.17975539942753058,0.602098663095685
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],50,[ 824.  137.  137.  137.  137.  137. 1236.],[1.021e+03 1.370e+02 0.000e+00 1.000e+00 0.000e+00 1.586e+03 0.000e+00],[1.020e+03 1.370e+02 1.388e+03 1.000e+00 0.000e+00 1.586e+03 0.000e+00],0.229247983346344,0.9978836832974021
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],31,[ 824.  137.  137.  137.  137.  137. 1236.],[ 313.  123.  395.  193.  441.   98. 1182.],[ 313.  123.  394.  193.  440.   98. 1182.],0.06422066094197242,0.1020047522502614
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],11,[ 66. 334. 133. 200. 133. 401.  66.],[208. 333.   2. 277. 101. 291. 121.],[627.   0.   0.   0.   8.   0.  32.],0.19161933340477977,0.999931473301578
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],42,[ 66. 334. 133. 200. 133. 401.  66.],[298. 334.   0. 136. 105. 185. 275.],[297. 334. 303. 136. 105. 185. 275.],0.09838173829171579,0.043415763863132284
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],73,[ 66. 334. 133. 200. 133. 401.  66.],[178. 334.  71. 101.   3. 560.  86.],[178. 334.  71. 101.   3. 560.  85.],0.0622655663915979,0.18838953070961972
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],34,[ 66. 334. 133. 200. 133. 401.  66.],[ 69. 332.  90. 122.  48. 567. 105.],[ 69. 332.  89. 121.  48. 566. 105.],0.044689743864537564,0.0448723943308551
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],25,[ 66. 334. 133. 200. 133. 401.  66.],[ 38. 331. 164. 181. 134. 308. 177.],[ 79. 317. 182. 171. 127. 296. 143.],0.0317222162683528,0.027018655318573837
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],96,[ 66. 334. 133. 200. 133. 401.  66.],[ 28. 322. 116. 277. 217.  82. 291.],[ 28. 322. 117. 277. 217.  82. 292.],0.08273496945664988,0.18318460351248245
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],57,[ 66. 334. 133. 200. 133. 401.  66.],[  1. 334. 165. 388. 190. 118. 137.],[  1. 334. 164. 388. 190. 118. 136.],0.0743757367913407,0.18953758427372347
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],88,[ 66. 334. 133. 200. 133. 401.  66.],[166. 332.  21. 284. 163.  67. 300.],[170. 330.  31. 276. 138.  67. 149.],0.07587611188511413,0.267070989256734
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],50,[ 66. 334. 133. 200. 133. 401.  66.],[150. 330.  45. 543. 169.  22.  74.],[ 86. 170.  36. 447.  63.   0.  32.],0.11070624799056906,0.9691855150530153
[0.5 0.5],[0.15 0.14 0.14 0.15 0.14 0.14 0.14],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],31,[ 66. 334. 133. 200. 133. 401.  66.],[273. 333.   0. 152. 381.   0. 194.],[272. 333. 223. 152. 382. 188. 194.],0.10020362233415497,-0.005264352332845612
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,[ 65.  65.  65. 326.  65.   0.  65.],[ 39.  65.  70. 353.  44.  60.  20.],[ 30.  47.  54. 279. 151.  80.  52.],0.06363835856923415,0.011139578238951842
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],42,[ 65.  65.  65. 326.  65.   0.  65.],[146.  65.   5. 180.   0. 210.  45.],[114.   0.   0. 105.   0. 134.   3.],0.14505156901470265,0.15235694937833077
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],73,[ 65.  65.  65. 326.  65.   0.  65.],[ 48.  65.  66. 402.  55.   0.  15.],[ 21.  35.  34. 325.  29.   3.  21.],0.041474654377880185,0.056346715865378316
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],34,[ 65.  65.  65. 326.  65.   0.  65.],[ 15.  65.  84. 258. 220.   0.   9.],[ 14.  55.  71. 223. 117.   0.  18.],0.05903006363835857,0.06401450053302482
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],25,[ 65.  65.  65. 326.  65.   0.  65.],[  0.  65. 153. 346.  66.  21.   0.],[325.   0. 320.   0.  25.   0.   0.],0.2218564845292956,0.5029565108478635
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],96,[ 65.  65.  65. 326.  65.   0.  65.],[ 53.  38.  58. 188.  95. 194.  25.],[ 53.  38.  58. 188.  95. 194.  24.],0.09852973447443493,0.04969916881763914
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],57,[ 65.  65.  65. 326.  65.   0.  65.],[ 18.  65.  82. 295. 121.   1.  69.],[  6.  52.  68. 279. 107.  14.  62.],0.03971911345183234,0.002359010612773327
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],88,[ 65.  65.  65. 326.  65.   0.  65.],[  0.  13. 129.   5.  55. 422.  27.],[  0.   0. 345.   0.   2.  15.  19.],0.18872064955014264,0.0613258950355271
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],50,[ 65.  65.  65. 326.  65.   0.  65.],[116.  65.  69. 241.  45.  27.  88.],[104.  54.  66. 201. 221.  36. 106.],0.08975202984419574,-0.024410179568327806
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],31,[ 65.  65.  65. 326.  65.   0.  65.],[ 65.  65.  68. 361.  60.   8.  24.],[ 59.  60.  64. 348.  56.  22.  21.],0.0239192451174018,0.056346715865378316
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],11,[261.  65. 130.  32.  65.  65.  32.],[494.  65.   3.  26.  17.  42.   3.],[258.   0.   0.   0.   0.   0.   0.],0.08615384615384615,0.997555240862289
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],42,[261.  65. 130.  32.  65.  65.  32.],[467.  66.   0.   7.   0. 103.   7.],[467.  66. 536.   7.   7. 103.   7.],0.16681318681318683,-0.09570983616890594
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],73,[261.  65. 130.  32.  65.  65.  32.],[172.  65. 213.  34.  54.  60.  52.],[172.  65. 213.  34.  55.  61.  52.],0.045714285714285714,0.0324239485310891
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],34,[261.  65. 130.  32.  65.  65.  32.],[ 39.  65. 326.  49.  70.  60.  41.],[ 39.  65. 326.  49.  70.  60.  41.],0.09978021978021978,0.266809528509925
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],25,[261.  65. 130.  32.  65.  65.  32.],[320.  65.  80.  21.   7. 113.  44.],[265.  10.  30.   3.   3.  73.  35.],0.057362637362637366,0.4146528634568367
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],96,[261.  65. 130.  32.  65.  65.  32.],[123.  65. 239.  43.  22. 133.  25.],[106.  56. 206.  42.  20.  95.  48.],0.07494505494505495,0.16411320660470263
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],57,[261.  65. 130.  32.  65.  65.  32.],[ 76.  65. 316.  16. 110.   2.  65.],[ 52.  44. 214.  12.  88.   4.  22.],0.09406593406593407,0.42287334995486825
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],88,[261.  65. 130.  32.  65.  65.  32.],[456.  62.   0.   0.   0. 129.   3.],[456.  62. 510.   0.   3. 129.   3.],0.16813186813186815,0.18464165584893188
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],50,[261.  65. 130.  32.  65.  65.  32.],[115.  65. 223.  71. 119.  11.  46.],[115.  65. 223.  71. 119.  11.  45.],0.0876923076923077,0.14023280522676163
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],31,[261.  65. 130.  32.  65.  65.  32.],[  0.  66.  96.  55. 426.   0.   7.],[ 0. 28. 40.  4. 80.  0.  3.],0.11538461538461539,0.9973747315554831
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],11,[ 86. 115.  86.  57. 115.  57.  57.],[ 71. 115. 135.  69.  74.  49.  60.],[ 71. 115. 135.  69.  74.  49.  61.],0.03216155572176515,0.01942815923986685
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],42,[ 86. 115.  86.  57. 115.  57.  57.],[ 89. 116.  83. 162.  55.   0.  68.],[ 72.  97.  66. 145.  46.  57.  57.],0.052106706556968335,0.09549615908344755
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],73,[ 86. 115.  86.  57. 115.  57.  57.],[110. 114.  99. 103.  33.   0. 114.],[109. 105.  94.  92.  53.  87.  83.],0.04836699077536774,-0.0011317748171041364
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],34,[ 86. 115.  86.  57. 115.  57.  57.],[ 33. 116. 145.  80. 128.   4.  67.],[ 33. 116. 144.  81. 128.   4.  67.],0.05285464971328846,0.12750816444876656
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],25,[ 86. 115.  86.  57. 115.  57.  57.],[ 38. 114. 112.  77.  13. 100. 119.],[22. 63. 62. 44. 50. 93. 65.],0.06532036898529045,0.24757485082446173
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],96,[ 86. 115.  86.  57. 115.  57.  57.],[  1. 116.  52.  93. 301.   1.   9.],[ 0.  0.  0.  0. 69.  0.  0.],0.1256544502617801,0.9997810815848851
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],57,[ 86. 115.  86.  57. 115.  57.  57.],[157. 115.  53.  64.  77.  64.  43.],[158. 115.  53.  65.  77.  64.  43.],0.04288207429568686,0.03264631684889352
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],88,[ 86. 115.  86.  57. 115.  57.  57.],[162. 114.  67. 123.  21.   0.  86.],[157.  78. 109.  85.  66.  30.  71.],0.06207928197456993,0.03283888462129725
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],50,[ 86. 115.  86.  57. 115.  57.  57.],[ 62. 115. 129.  95. 115.  33.  24.],[ 54. 107. 121.  88. 111.  27.  25.],0.04288207429568686,0.07649526530313655
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],31,[ 86. 115.  86.  57. 115.  57.  57.],[198. 115.  26.  56.  43.  80.  55.],[198. 115.  26.  56.  43.  81.  55.],0.06756419845425081,0.11063149692653806
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],11,[208.  34.  34.  34.  34.  34. 313.],[111.  34. 111. 106.  33.  88. 208.],[107.  32. 106. 100.  53.  81. 197.],0.08745089931775894,0.11903548953745235
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],42,[208.  34.  34.  34.  34.  34. 313.],[100.  34.  88. 112. 261.   2.  94.],[ 99.  34.  88. 112. 261.   2.  94.],0.14864585486872028,0.33727315530328306
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],73,[208.  34.  34.  34.  34.  34. 313.],[246.  23.   0.  51.   0. 350.  21.],[246.  23. 202.  51.   2. 350.  22.],0.18048377093239612,0.49619032425806986
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],34,[208.  34.  34.  34.  34.  34. 313.],[220.   3.  11. 180.  30. 137. 110.],[ -58.   -1.  -28. -280.   -7.  681. -426.],0.4349803597271036,nan
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],25,[208.  34.  34.  34.  34.  34. 313.],[322.  35.  22.  41.   7. 185.  79.],[322.  35.  22.  41.   8. 185.  79.],0.11267314451106057,0.24054357571697205
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],96,[208.  34.  34.  34.  34.  34. 313.],[351.  34.   0.  32.   0. 266.   8.],[350.  34. 360.  32.   4. 266.   4.],0.21521604300186065,0.6934656141478237
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],57,[208.  34.  34.  34.  34.  34. 313.],[320.  36.   0.  17.   0. 300.  18.],[319.  35. 306.  17.  18. 300.  18.],0.20219144097581146,0.4674441377086107
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],88,[208.  34.  34.  34.  34.  34. 313.],[  0.  26. 232.  77. 219.   6. 131.],[  0.  26. 231.  77. 218.   6. 131.],0.17572875749431466,0.9623347160817082
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],50,[208.  34.  34.  34.  34.  34. 313.],[263.  34.   0.   3.   0. 387.   4.],[313.   0. 173.   0.   0.  11.   0.],0.1409964854248501,0.9983909992032316
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],31,[208.  34.  34.  34.  34.  34. 313.],[ 68.  32. 129. 115. 295.   3.  49.],[ 67.  32. 129. 115. 294.   3.  48.],0.1808972503617945,0.49338111552067754
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],11,[ 27. 137.  54.  82.  54. 164.  27.],[115. 137.   0.  53.   0. 215.  25.],[114. 137. 107.  54.   4. 216.  25.],0.07129750982961992,0.05123265630957485
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],42,[ 27. 137.  54.  82.  54. 164.  27.],[108. 136.  20.  54.  12. 188.  27.],[108. 136.  20.  55.  12. 187.  26.],0.054783748361730014,0.10118866760575806
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],73,[ 27. 137.  54.  82.  54. 164.  27.],[ 12. 135.  64.  65. 117.   2. 150.],[  2.  25.  13.  11. 110.  14.  42.],0.12319790301441677,0.6772450295451957
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],34,[ 27. 137.  54.  82.  54. 164.  27.],[ 40. 137.  28.   1.   0. 339.   0.],[  0.   0.   0.   0.   0.  73. 273.],0.18112712975098297,0.9988600742333407
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],25,[ 27. 137.  54.  82.  54. 164.  27.],[ 60. 137.  61.  92.  31. 131.  33.],[ 57. 131.  59.  89.  40. 122.  44.],0.03171690694626474,0.023848911154448427
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],96,[ 27. 137.  54.  82.  54. 164.  27.],[ 93. 137.   7.  19.   0. 265.  24.],[ 94. 137.   7.  19.  24. 264.  24.],0.08125819134993446,0.15062890076074043
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],57,[ 27. 137.  54.  82.  54. 164.  27.],[ 78. 137.   1.  50.   0. 263.  16.],[ 78. 137.   1.  50.  16. 262.  16.],0.07418086500655308,0.20820374730697355
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],88,[ 27. 137.  54.  82.  54. 164.  27.],[  0. 136.  51.   0. 358.   0.   0.],[  0.   0.   1.   0.  60. 189. 189.],0.1289646133682831,0.991243979208718
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],50,[ 27. 137.  54.  82.  54. 164.  27.],[ 50. 137.  32.  74.   0. 207.  45.],[ 50. 137.  32.  74.   0. 207.  46.],0.044298820445609434,0.4699354973361731
[0.7 0.3],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],31,[ 27. 137.  54.  82.  54. 164.  27.],[ 87. 138.  17. 223.  60.   0.  20.],[ 80. 108.  31. 191.  36.   0.   0.],0.1108781127129751,0.9671608208262088
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,[156. 156. 156. 783. 156.   0. 156.],[159. 160.  54. 593. 179.  11. 407.],[160. 159.  54. 593. 179.  11. 408.],0.05346860433232794,-0.04794151226801424
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],42,[156. 156. 156. 783. 156.   0. 156.],[  7.  57.   3. 251. 217. 257. 771.],[  7.  57. 423. 251. 218. 257. 770.],0.18097066081710994,-0.07950534843540868
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],73,[156. 156. 156. 783. 156.   0. 156.],[212. 137.  84. 342. 229.   8. 551.],[211. 137.  84. 342. 229.   8. 551.],0.09715748103464035,-0.06288972906856238
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],34,[156. 156. 156. 783. 156.   0. 156.],[ 21. 156. 143. 361. 275.  78. 529.],[ 21. 156. 143. 361. 275.  78. 529.],0.10419522895530572,-0.06086410672938647
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],25,[156. 156. 156. 783. 156.   0. 156.],[159. 156. 115. 342.  48. 375. 368.],[159. 156. 115. 342.  48. 374. 369.],0.10785120190110593,-0.04293799090547612
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],96,[156. 156. 156. 783. 156.   0. 156.],[   0.  147.   12.   27. 1245.    0.  132.],[  0.   0.   0.   0. 627.   0.  43.],0.16771775888858423,0.06422061597117912
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],57,[156. 156. 156. 783. 156.   0. 156.],[  23.   32.   23.  128.  319.    0. 1038.],[  23.   32.   23.  128.  319.    0. 1038.],0.1910245864180605,-0.09429687878190796
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],88,[156. 156. 156. 783. 156.   0. 156.],[ 96.   0. 218. 483.  33.  24. 709.],[ 85.   0.  88.   0. 121.   7. 408.],0.1253998720409469,-0.04794151226801424
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],50,[156. 156. 156. 783. 156.   0. 156.],[ 87. 154. 109. 333. 376.   0. 504.],[ 87. 154. 109. 333. 377.   0. 504.],0.10392103098437072,-0.05845674509887733
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.1 0.1 0.1 0.5 0.1 0.  0.1],31,[156. 156. 156. 783. 156.   0. 156.],[243. 147.  18. 221. 160.  12. 762.],[243. 147.  18. 221. 160.  11. 762.],0.12951284160497212,-0.07898742589210483
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],11,[626. 156. 313.  78. 156. 156.  78.],[895. 156.   6.  31. 164. 145. 166.],[722.   0.   0.   0.   7.   2.  21.],0.09167352161594004,0.9871691274751542
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],42,[626. 156. 313.  78. 156. 156.  78.],[305. 103. 143.   0. 476.  15. 521.],[305. 103. 143.   0. 476.  15. 521.],0.13947536788227768,0.49149153361240083
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],73,[626. 156. 313.  78. 156. 156.  78.],[539. 157. 313.  51. 256. 151.  96.],[535. 156. 309.  58. 244. 147.  62.],0.020839045791061148,0.026502114957646317
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],34,[626. 156. 313.  78. 156. 156.  78.],[318. 155. 216.   6. 355.   5. 508.],[318. 155. 216.   5. 355.   5. 508.],0.11507174846906133,0.31451308631256003
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],25,[626. 156. 313.  78. 156. 156.  78.],[741.  11.   0.  32. 215.   0. 564.],[ 741.   11. 1832.   32.  214.    0.  565.],0.2308746915272827,0.4425755410671024
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],96,[626. 156. 313.  78. 156. 156.  78.],[ 37. 156.  70.  48. 930.  27. 295.],[ 54. 157.  54.  48. 930.  27. 295.],0.18115345946439995,0.5674049957308831
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],57,[626. 156. 313.  78. 156. 156.  78.],[ 68.   1. 380.  32. 524.  50. 508.],[  0.   0.  70.   0. 227.   0.  12.],0.12759345580842701,0.99965003371041
[0.7 0.3],[0.05 0.1  0.05 0.05 0.25 0.3  0.2 ],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],88,[626. 156. 313.  78. 156. 156.  78.],[717. 157. 173.  14.  76. 247. 179.],[718. 157. 172.  14.  76. 246. 180.],0.05209761447765286,0.06721801038615172
